Trait	Match	Match Label	Second Match	Second Label	Third Match	Third Label
not provided
not specified	Orphanet:86903	Dendritic cell sarcoma not otherwise specified	Orphanet:99917	Theca steroid-producing cell malignant tumor of ovary, not further specified
See cases	UBERON:0018657PHENOTYPE	pupal case phenotype
Neoplastic Syndromes, Hereditary	MESH:D009386	Neoplastic Syndromes, Hereditary	OMIM:229600	hereditary fructose intolerance syndrome	Orphanet:213524	Hereditary site-specific ovarian cancer syndrome
Not Specified	Orphanet:86903	Dendritic cell sarcoma not otherwise specified	Orphanet:99917	Theca steroid-producing cell malignant tumor of ovary, not further specified
AllHighlyPenetrant
Familial cancer of breast	MESH:C566178	Breast Cancer, Familial Male	OMIM:114480	Breast Cancer	OMIM:605365	Breast Cancer 3
Breast-ovarian cancer, familial 2	OMIM:612555	Breast-Ovarian Cancer, Familial, Susceptibility To, 2	OMIM:614291	Breast-Ovarian Cancer, Familial, Susceptibility To, 4	OMIM:604370	Breast-Ovarian Cancer, Familial, Susceptibility To, 1
Breast-ovarian cancer, familial 1	OMIM:604370	Breast-Ovarian Cancer, Familial, Susceptibility To, 1	OMIM:612555	Breast-Ovarian Cancer, Familial, Susceptibility To, 2	OMIM:614291	Breast-Ovarian Cancer, Familial, Susceptibility To, 4
Lynch Syndrome	OMIM:120435	Lynch Syndrome 1	MESH:C537713	Lynch Lee Murday syndrome	DOID:3883	Lynch syndrome
TSC
Cardiomyopathy	OMIM:212112	Dilated cardiomyopathy - hypergonadotropic hypogonadism	OMIM:115200	Cardiomyopathy, Dilated, 1A	DOID:397	restrictive cardiomyopathy
Not Provided
Not provided
Cardiac arrhythmia	OMIM:600919	Cardiac Arrhythmia, Ankyrin-B-Related	OMIM:115000	Cardiac Arrhythmia	MESH:D001145	Cardiac Arrhythmia
CFTR-related disorders	Orphanet:371195	Congenital disorder of glycosylation-related bone disorder	DOID:0050571	congenital disorder of glycosylation type II	Orphanet:79191	Disorder of purine metabolism
BRCA1 and BRCA2 Hereditary Breast and Ovarian Cancer	DOID:5683	hereditary breast ovarian cancer	Orphanet:213524	Hereditary site-specific ovarian cancer syndrome	Orphanet:227535	Hereditary breast cancer
