gene	disease
NCBIGene:149371	Joubert Syndrome 1
NCBIGene:149371	Joubert syndrome
NCBIGene:149371	Joubert Syndrome and Related Disorders
NCBIGene:3899	Substance-Related Disorders
NCBIGene:3899	rheumatoid arthritis
NCBIGene:6533	Myocardial Ischemia
NCBIGene:23228	Schizophrenia
NCBIGene:8615	Arsenic Poisoning
NCBIGene:8615	prostate cancer
NCBIGene:8615	Skin Diseases
NCBIGene:6046	['medulloblastoma', 'Medulloblastoma']
NCBIGene:2969	Williams-Beuren syndrome
NCBIGene:2969	Williams-Beuren Syndrome
NCBIGene:2969	['acute myeloid leukemia', 'Leukemia, Acute Myeloid']
NCBIGene:2969	Child Development Disorders, Pervasive
NCBIGene:2969	Thymic epithelial tumor
NCBIGene:2969	Sjogren's Syndrome
NCBIGene:10659	IgA glomerulonephritis
NCBIGene:10659	['Stevens-Johnson syndrome', 'Severe Cutaneous Adverse Reaction, Susceptibility to']
NCBIGene:10659	Schizophrenia
NCBIGene:4360	allergic contact dermatitis
NCBIGene:2915	attention deficit hyperactivity disorder
NCBIGene:2915	Diabetic Neuropathies
NCBIGene:2915	status epilepticus
NCBIGene:2915	Neuralgia
NCBIGene:2915	Substance-Related Disorders
NCBIGene:2915	Cocaine-Related Disorders
NCBIGene:2915	temporal lobe epilepsy
NCBIGene:120114	esophagus squamous cell carcinoma
NCBIGene:1656	rheumatoid arthritis
NCBIGene:10525	['spinocerebellar ataxia type 17', 'Spinocerebellar Ataxia 17']
NCBIGene:7750	bone marrow cancer
NCBIGene:7223	peripheral nervous system disease
NCBIGene:64506	chronic lymphocytic leukemia
NCBIGene:7014	adult T-cell leukemia
NCBIGene:8742	common variable immunodeficiency
NCBIGene:8742	Brain Injuries
NCBIGene:31	ACACAD
NCBIGene:31	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:84687	Sinusitis
NCBIGene:8405	prostate cancer
NCBIGene:8405	Endometrial Neoplasms
NCBIGene:5141	autistic disorder
NCBIGene:9757	['hepatocellular carcinoma', 'Hepatocellular Carcinoma']
NCBIGene:9757	peripheral nervous system disease
NCBIGene:4849	Precursor T-cell acute lymphoblastic leukemia
