ortholog	gene	phenotype	taxon
Vps13d	['VPS13D', 'vacuolar protein sorting 13 homolog D (S. cerevisiae)']	embryonic lethality between implantation and placentation, complete penetrance	Mus musculus
Vps13d	['VPS13D', 'vacuolar protein sorting 13 homolog D (S. cerevisiae)']	preweaning lethality, complete penetrance	Mus musculus
Vps13d	['VPS13D', 'vacuolar protein sorting 13 homolog D (S. cerevisiae)']	embryonic lethality between implantation and placentation, complete penetrance	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	preweaning lethality, complete penetrance	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	angiogenesis phenotype	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	ameboidal-type cell migration phenotype	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	actin filament-based movement phenotype	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	movement of cell or subcellular component phenotype	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	actin cytoskeleton organization phenotype	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	preweaning lethality, complete penetrance	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal placental labyrinth vasculature morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal dorsal aorta morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal anterior cardinal vein morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	failure of heart looping	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal vitelline vascular remodeling	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal endocardium morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	embryonic growth retardation	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal vascular endothelial cell development	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal capillary morphology	Mus musculus
Wasf2	['WASF2', 'WAS protein family member 2']	abnormal pericardial cavity morphology	Mus musculus
